t,x_0,v_0,g_0,x_1,v_1,g_1
70,2.0306827600577844,-0.2650140977114929,0.09204828017335309,-2.0431595788333228,-0.08456199223721338,-0.043159578833322776
71,2.0453292008344834,-0.14646440776699055,0.13598760250344988,-2.0312330416486413,-0.11926537184681482,-0.03123304164864127
72,2.0449122372831674,0.004169635513158382,0.1347367118495022,-2.0173758540175637,-0.1385718763107746,-0.017375854017563697
73,2.031063298902033,0.13848938381134474,0.09318989670609845,-2.0031667997478375,-0.14209054269726085,-0.003166799747837512
74,2.0092802646884023,0.2178303421363087,0.027840794065206786,-1.9900619709303002,-0.13104828817537229,0.00993802906969976
75,1.986891454489614,0.2238881019878846,-0.03932563653115828,-1.9792614279014866,-0.10800543028813529,0.020738572098513375
76,1.9706740889638201,0.16217365525793787,-0.08797773310853962,-1.9716147963854058,-0.07646631516080839,0.02838520361459418
77,1.9648762333014598,0.05797855662360446,-0.10537130009562112,-1.9675713483823924,-0.04043448003013338,0.03242865161760755
78,1.9701952932148974,-0.053190599134377105,-0.0894141203553076,-1.9671751103414412,-0.003962380409512488,0.03282488965855879
79,1.9839238591725221,-0.137285659576247,-0.048228422482433864,-1.970100985070441,0.02925874728999755,0.029899014929559042
80,2.001102410782628,-0.17178551610105616,0.0033072323478835486,-1.9757241738194966,0.05623188749055684,0.02427582618050339
81,2.0162323839969347,-0.151299732143067,0.0486971519908046,-1.9832126263116971,0.07488452492200455,0.016787373688302853
82,2.02497964469073,-0.0874726069379557,0.07493893407219065,-1.9916309709235078,0.08418344611810695,0.008369029076492174
83,2.0253582859079273,-0.0037864121719694693,0.07607485772378197,-2.0000443839817867,0.08413413058278843,-4.4383981786744187e-05
84,2.018091577231026,0.07266708676900946,0.05427473169307895,-2.007612017336059,0.07567633354272285,-0.007612017336059207
85,2.0061240662525073,0.11967510978518746,0.01837219875752183,-2.0136616856212983,0.06049668285239136,-0.013661685621298325
86,1.9935160864960881,0.12607979756419055,-0.019451740511735593,-2.017740218515884,0.040785328945853905,-0.01774021851588392
87,1.9841140787664846,0.0940200772960359,-0.04765776370054642,-2.0196368762694226,0.018966577535384596,-0.019636876269422565
88,1.980418048179896,0.03696030586588589,-0.058745855460311525,-2.019380180620665,-0.0025669564875764293,-0.019380180620665044
89,1.9829662061979976,-0.02548158018101422,-0.051101381406007285,-2.0172111364747165,-0.02169044145948383,-0.017211136474716504
90,1.9903696865548897,-0.07403480356892009,-0.028890940335331017,-2.0135378830958914,-0.03673253378825195,-0.013537883095891434
91,1.9999219129096255,-0.0955222635473591,-0.00023426127112369244,-2.0088781667453595,-0.04659716350531819,-0.008878166745359461
92,2.0085423427560003,-0.08620429846374689,0.02562702826800134,-2.003796605355345,-0.05081561390014583,-0.003796605355344873
93,2.0137380267909375,-0.051956840349370856,0.04121408037281249,-1.9988435395687973,-0.04953065786547612,0.001156460431202655
94,2.0142927343850996,-0.0055470759416212795,0.04287820315529878,-1.9945014264040248,-0.043421131647725854,0.005498573595975165
95,2.010504150904316,0.03788583480783963,0.031512452712947336,-1.991143381915327,-0.0335804448869781,0.008856618084672974
96,2.0039431805003156,0.065609704040003,0.011829541500946839,-1.9890068036839663,-0.02136578231360732,0.010993196316033682
97,1.9968553529866206,0.07087827513694955,-0.009433941040137839,-1.988183202907345,-0.008236007766212906,0.01181679709265504
98,1.991419702328309,0.05435650658311676,-0.02574089301507332,-1.9886236419176513,0.004404390103063425,0.011376358082348714
99,1.9891017060373357,0.023179962909731767,-0.03269488188799308,-1.9901576728351618,0.015340309175105798,0.009842327164838238
100,1.9902849975642591,-0.011832915269234485,,-1.992522533377405,0.023648605422433456,
